id,ciudad,provincia,pais
261,La Uvita,Boyacá,Colombia
262,La Victoria,Boyacá,Colombia
263,Labranzagrande,Boyacá,Colombia
264,Macanal,Boyacá,Colombia
265,Maripí,Boyacá,Colombia
266,Miraflores,Boyacá,Colombia
267,Mongua,Boyacá,Colombia
268,Monguí,Boyacá,Colombia
269,Moniquirá,Boyacá,Colombia
270,Motavita,Boyacá,Colombia
271,Muzo,Boyacá,Colombia
272,Nobsa,Boyacá,Colombia
273,Nuevo Colón,Boyacá,Colombia
274,Oicatá,Boyacá,Colombia
275,Otanche,Boyacá,Colombia
276,Pachavita,Boyacá,Colombia
277,Páez,Boyacá,Colombia
278,Paipa,Boyacá,Colombia
279,Pajarito,Boyacá,Colombia
280,Panqueba,Boyacá,Colombia
281,Pauna,Boyacá,Colombia
282,Paya,Boyacá,Colombia
283,Paz de Río,Boyacá,Colombia
284,Pesca,Boyacá,Colombia
285,Pisba,Boyacá,Colombia
286,Puerto Boyacá,Boyacá,Colombia
287,Quípama,Boyacá,Colombia
288,Ramiriquí,Boyacá,Colombia
289,Ráquira,Boyacá,Colombia
290,Rondón,Boyacá,Colombia
291,Saboyá,Boyacá,Colombia
292,Sáchica,Boyacá,Colombia
293,Samacá,Boyacá,Colombia
294,San Eduardo,Boyacá,Colombia
295,San José de Pare,Boyacá,Colombia
296,San Luis de Gaceno,Boyacá,Colombia
297,San Mateo,Boyacá,Colombia
298,San Miguel de Sema,Boyacá,Colombia
299,San Pablo de Borbur,Boyacá,Colombia
300,Santa María,Boyacá,Colombia
301,Santa Rosa de Viterbo,Boyacá,Colombia
302,Santa Sofía,Boyacá,Colombia
303,Santana,Boyacá,Colombia
304,Sativanorte,Boyacá,Colombia
305,Sativasur,Boyacá,Colombia
306,Siachoque,Boyacá,Colombia
307,Soatá,Boyacá,Colombia
308,Socha,Boyacá,Colombia
309,Socotá,Boyacá,Colombia
310,Sogamoso,Boyacá,Colombia
311,Somondoco,Boyacá,Colombia
312,Sora,Boyacá,Colombia
313,Soracá,Boyacá,Colombia
314,Sotaquirá,Boyacá,Colombia
315,Susacón,Boyacá,Colombia
316,Sutamarchán,Boyacá,Colombia
317,Sutatenza,Boyacá,Colombia
318,Tasco,Boyacá,Colombia
319,Tenza,Boyacá,Colombia
320,Tibaná,Boyacá,Colombia
